#image_name, u, v, x, y, z
5M6A1273, 5004.203220776938, 1169.3159904018567, 75, 75, 80
5M6A1272, 4647.191886015501, 1162.278554592763, 60, 75, 80
5M6A1271, 4294.843740151964, 1167.379616323774, 45, 75, 80
5M6A1269, 3618.5560431484546, 1181.095352037908, 15, 75, 80
5M6A1270, 3947.511740040144, 1211.2890820755586, 30, 75, 80
5M6A1268, 3273.432127647544, 1225.0012492545516, 0, 75, 80
5M6A1267, 4915.7801181709865, 1688.1573466910156, 75, 60, 80
5M6A1266, 4550.026900119406, 1685.3014090079773, 60, 60, 80
5M6A1265, 4198.622036661667, 1679.6364004852342, 45, 60, 80
5M6A1264, 3849.2520756415265, 1688.3808013348257, 30, 60, 80
5M6A1263, 3508.990294266063, 1691.7167911110446, 15, 60, 80
5M6A1262, 3176.7947381397125, 1692.2874937891534, 0, 60, 80
5M6A1261, 4821.998662465646, 2187.60077601529, 75, 45, 80
5M6A1260, 4454.731243202805, 2196.4426414765767, 60, 45, 80
5M6A1259, 4102.437900368849, 2180.037235695705, 45, 45, 80
5M6A1258, 3750.9165201590954, 2179.3008829402315, 30, 45, 80
5M6A1257, 3407.8166122725615, 2184.955261690144, 15, 45, 80
5M6A1256, 3073.958276769699, 2185.1282911276708, 0, 45, 80
5M6A1255, 4728.238322916018, 2703.975156047416, 75, 30, 80
5M6A1254, 4361.957908229469, 2694.580777235996, 60, 30, 80
5M6A1253, 4005.758161214452, 2694.1221667384757, 45, 30, 80
5M6A1252, 3651.9285116944857, 2684.247804881764, 30, 30, 80
5M6A1251, 3307.965446220954, 2678.797176547731, 15, 30, 80
5M6A1250, 2969.5859302657427, 2682.768974987507, 0, 30, 80
5M6A1249, 4629.575428240099, 3236.0096508174242, 75, 15, 80
5M6A1248, 4259.389760940066, 3223.655540727036, 60, 15, 80
5M6A1247, 3899.6640177200784, 3216.677238291789, 45, 15, 80
5M6A1246, 3545.710040573086, 3206.2677170416123, 30, 15, 80
5M6A1245, 3200.001783751399, 3202.343907821922, 15, 15, 80
5M6A1244, 2862.396940953724, 3176.6766121686555, 0, 15, 80
5M6A1243, 4529.798657147029, 3771.512400309569, 75, 0, 80
5M6A1242, 4160.454980328203, 3742.139226363285, 60, 0, 80
5M6A1241, 3793.321384838033, 3741.801646453571, 45, 0, 80
5M6A1240, 3439.0323656532146, 3714.2792516314285, 30, 0, 80
5M6A1239, 3090.857405524331, 3726.7929341375147, 15, 0, 80
5M6A1238, 2751.163608483375, 3684.6867882879646, 0, 0, 80
5M6A1237, 5160.393551161242, 1322.8110805209792, 75, 75, 60
5M6A1236, 4807.327419788117, 1308.244736667544, 60, 75, 60
5M6A1235, 4453.275183065533, 1355.8900649729674, 45, 75, 60
5M6A1234, 4113.2094485601765, 1359.965569119538, 30, 75, 60
5M6A1233, 3774.029876484081, 1368.8756466452512, 15, 75, 60
5M6A1232, 3444.183267242963, 1369.2034701386362, 0, 75, 60
5M6A1231, 5073.670807659637, 1812.2807936199085, 75, 60, 60
5M6A1230, 4710.160597267619, 1839.217839455374, 60, 60, 60
5M6A1229, 4362.593094089592, 1825.4717604704815, 45, 60, 60
5M6A1228, 4016.268189283299, 1838.2371962712593, 30, 60, 60
5M6A1227, 3679.461966005518, 1832.1139531515269, 15, 60, 60
5M6A1226, 3347.2648992801664, 1842.5290100916475, 0, 60, 60
5M6A1225, 4984.6298960366585, 2330.0073095502084, 75, 45, 60
5M6A1224, 4619.382024726892, 2336.3003636520475, 60, 45, 60
5M6A1223, 4274.38429570446, 2315.0594454100647, 45, 45, 60
5M6A1222, 3927.758792602753, 2305.2059978519965, 30, 45, 60
5M6A1221, 3583.3139351430095, 2320.4936952868347, 15, 45, 60
5M6A1220, 3247.523116182189, 2327.516236783467, 0, 45, 60
5M6A1219, 4897.863810233722, 2838.831981523163, 75, 30, 60
5M6A1218, 4530.315461187353, 2830.1824088566354, 60, 30, 60
5M6A1217, 4177.850718445582, 2815.3402866040165, 45, 30, 60
5M6A1216, 3827.978700115707, 2809.7138674560338, 30, 30, 60
5M6A1215, 3484.21664827131, 2808.604275482081, 15, 30, 60
5M6A1214, 3150.295800921478, 2807.491905373265, 0, 30, 60
5M6A1213, 4798.095787154079, 3368.783645962743, 75, 15, 60
5M6A1212, 4432.350936316622, 3348.7976490518895, 60, 15, 60
5M6A1211, 4075.896561913257, 3340.6232318388334, 45, 15, 60
5M6A1210, 3724.575181232227, 3326.912695266786, 30, 15, 60
5M6A1209, 3380.8853031300123, 3315.912900300271, 15, 15, 60
5M6A1208, 3046.7750871764392, 3296.8831248800884, 0, 15, 60
5M6A1207, 4702.667162126242, 3897.1607319624545, 75, 0, 60
5M6A1206, 4327.0056989326495, 3897.3419601093324, 60, 0, 60
5M6A1205, 3976.208777107512, 3854.166071648406, 45, 0, 60
5M6A1204, 3628.7765085946644, 3820.065550711857, 30, 0, 60
5M6A1203, 3276.264591581678, 3821.0314808627463, 15, 0, 60
5M6A1202, 2936.718872314467, 3812.441930710579, 0, 0, 60
5M6A1201, 5313.50542833146, 1465.907930357454, 75, 75, 40
5M6A1200, 4963.843229583421, 1460.3013300296504, 60, 75, 40
5M6A1199, 4613.713126325294, 1494.5483609460766, 45, 75, 40
5M6A1198, 4273.498527651562, 1489.5578541566076, 30, 75, 40
5M6A1197, 3938.327878303934, 1499.132914213062, 15, 75, 40
5M6A1196, 3610.4504661837755, 1504.7289109762253, 0, 75, 40
5M6A1195, 5229.5802676992, 1968.4986125871067, 75, 60, 40
5M6A1194, 4871.624417887884, 1970.2355148991721, 60, 60, 40
5M6A1193, 4526.832582192432, 1956.034767380349, 45, 60, 40
5M6A1192, 4180.250107208636, 1977.2490723129176, 30, 60, 40
5M6A1191, 3843.022080675825, 1970.836035098151, 15, 60, 40
5M6A1190, 3518.697508341385, 1968.5953433232755, 0, 60, 40
5M6A1189, 5143.332901615897, 2467.117649504724, 75, 45, 40
5M6A1188, 4782.655208587503, 2462.9511255261145, 60, 45, 40
5M6A1187, 4437.252477900776, 2453.237650705436, 45, 45, 40
5M6A1186, 4089.792414748938, 2459.3409495308942, 30, 45, 40
5M6A1185, 3752.8959899302436, 2451.8656825509647, 15, 45, 40
5M6A1184, 3423.61461741843, 2443.5994492878804, 0, 45, 40
5M6A1183, 5057.044906082451, 2968.151790292681, 75, 30, 40
5M6A1182, 4695.36411381249, 2960.6808329480737, 60, 30, 40
5M6A1181, 4345.417176791348, 2952.4792086279203, 45, 30, 40
5M6A1180, 3998.3367809522283, 2943.5105597275738, 30, 30, 40
5M6A1179, 3660.9094170721964, 2933.762788096378, 15, 30, 40
5M6A1178, 3326.1721608770063, 2933.245870648427, 0, 30, 40
5M6A1177, 4966.855053203992, 3476.6476071962998, 75, 15, 40
5M6A1176, 4603.349703284958, 3457.90285474246, 60, 15, 40
5M6A1175, 4251.071114424562, 3451.7001491643337, 45, 15, 40
5M6A1174, 3898.771033655854, 3451.0355064788037, 30, 15, 40
5M6A1173, 3561.32248783458, 3436.402867931145, 15, 15, 40
5M6A1172, 3227.546159577972, 3411.665372642101, 0, 15, 40
5M6A1171, 4869.488632663531, 4025.182099896651, 75, 0, 40
5M6A1170, 4504.860400655003, 3998.1208550144183, 60, 0, 40
5M6A1169, 4154.008265446508, 3958.365845530737, 45, 0, 40
5M6A1168, 3799.5566787721177, 3950.554333015454, 30, 0, 40
5M6A1167, 3453.895854254478, 3947.8938893115846, 15, 0, 40
5M6A1166, 3117.6589390238137, 3918.3388051149846, 0, 0, 40
5M6A1165, 5462.836506535061, 1621.3841429665563, 75, 75, 20
5M6A1164, 5110.9101504892615, 1616.9260502083293, 60, 75, 20
5M6A1163, 4771.143700075032, 1616.210188260095, 45, 75, 20
5M6A1162, 4430.770258761109, 1633.3146062199933, 30, 75, 20
5M6A1161, 4100.920573674904, 1626.9348520103397, 15, 75, 20
5M6A1160, 3781.4349249769352, 1613.5415490066714, 0, 75, 20
5M6A1159, 5381.706417833881, 2092.2815719534146, 75, 60, 20
5M6A1158, 5027.579973755343, 2102.29261414201, 60, 60, 20
5M6A1157, 4683.974141029158, 2100.7722014774495, 45, 60, 20
5M6A1156, 4344.39466889588, 2092.2966544181004, 30, 60, 20
5M6A1155, 4009.665170701654, 2101.6022721341647, 15, 60, 20
5M6A1154, 3682.5190886468267, 2103.9822038010557, 0, 60, 20
5M6A1153, 5298.767123718596, 2598.050467250278, 75, 45, 20
5M6A1152, 4943.300414436289, 2595.7562128341947, 60, 45, 20
5M6A1151, 4601.481818587357, 2585.3401595854903, 45, 45, 20
5M6A1150, 4257.805205031132, 2580.668796779261, 30, 45, 20
5M6A1149, 3921.8382792876287, 2570.0336817084203, 15, 45, 20
5M6A1148, 3592.288542382339, 2568.100578400089, 0, 45, 20
5M6A1147, 5215.888640548937, 3095.328266082072, 75, 30, 20
5M6A1146, 4860.436670379652, 3087.4547614995695, 60, 30, 20
5M6A1145, 4510.144943329271, 3077.0152978554106, 45, 30, 20
5M6A1144, 4165.188897725762, 3067.477367770021, 30, 30, 20
5M6A1143, 3829.1556939330567, 3058.7526869830212, 15, 30, 20
5M6A1142, 3497.876372715314, 3049.834329008388, 0, 30, 20
5M6A1141, 5127.058117329909, 3607.0349630084415, 75, 15, 20
5M6A1140, 4766.41250982729, 3595.201145961051, 60, 15, 20
5M6A1139, 4416.885385392851, 3581.0216760170547, 45, 15, 20
5M6A1138, 4070.7927133559115, 3563.291004588098, 30, 15, 20
5M6A1137, 3729.9404178967525, 3552.030047710558, 15, 15, 20
5M6A1136, 3400.0713652436275, 3534.674873083104, 0, 15, 20
5M6A1135, 5035.750955105569, 4130.4524211650405, 75, 0, 20
5M6A1134, 4677.223656424572, 4095.605301074209, 60, 0, 20
5M6A1133, 4323.865915369941, 4084.2310514710775, 45, 0, 20
5M6A1132, 3974.8596545646333, 4065.062666078076, 30, 0, 20
5M6A1131, 3632.9418091075268, 4051.21410376861, 15, 0, 20
5M6A1130, 3298.05275027638, 4029.155247888565, 0, 0, 20
5M6A1129, 5608.810171302025, 1756.3076164894148, 75, 75, 0
5M6A1128, 5262.207761522472, 1748.8129992018003, 60, 75, 0
5M6A1127, 4918.717613741906, 1766.4507549709801, 45, 75, 0
5M6A1126, 4584.524324935403, 1778.1517997242013, 30, 75, 0
5M6A1125, 4254.811615762668, 1767.0361098573965, 15, 75, 0
5M6A1124, 3931.084039381764, 1764.683394378781, 0, 75, 0
5M6A1123, 5528.637188590587, 2240.337731246618, 75, 60, 0
5M6A1122, 5181.116268245773, 2222.425937580446, 60, 60, 0
5M6A1121, 4839.972132595968, 2228.6188952465072, 45, 60, 0
