#image_name, u, v, x, y, z
0C5A0763, 5246.812131948697, 1792.2733156600357, 75, 75, 80
0C5A0762, 4931.949717367564, 1728.0171611710082, 60, 75, 80
0C5A0761, 4618.963084345926, 1690.4503953494955, 45, 75, 80
0C5A0760, 4295.8887761268215, 1650.6703135001014, 30, 75, 80
0C5A0759, 3969.9787445971133, 1613.2960661521456, 15, 75, 80
0C5A0757, 5291.969394833816, 2264.6020801268123, 75, 60, 80
0C5A0758, 3635.3420938543527, 1558.19888756511, 0, 75, 80
0C5A0756, 4976.393088120029, 2220.4218989541664, 60, 60, 80
0C5A0755, 4657.795059992815, 2177.75932369594, 45, 60, 80
0C5A0754, 4333.8968876295785, 2142.7072105372154, 30, 60, 80
0C5A0753, 4001.5529815135296, 2100.4264432858445, 15, 60, 80
0C5A0752, 3665.349372116067, 2055.3120227360964, 0, 60, 80
0C5A0751, 5335.189466403088, 2748.0831796203693, 75, 45, 80
0C5A0749, 4700.274830969123, 2666.544313271131, 45, 45, 80
0C5A0750, 5019.566676091247, 2711.4711574724374, 60, 45, 80
0C5A0748, 4372.2143793550895, 2637.940712640148, 30, 45, 80
0C5A0746, 3699.433271194213, 2560.0459277431178, 0, 45, 80
0C5A0747, 4038.5622160162998, 2599.4752393077733, 15, 45, 80
0C5A0745, 5381.578185703912, 3233.4997766873335, 75, 30, 80
0C5A0744, 5063.944045984643, 3200.597156645623, 60, 30, 80
0C5A0743, 4744.4276499507, 3175.8749880364057, 45, 30, 80
0C5A0741, 4076.3370270216096, 3105.8788631983284, 15, 30, 80
0C5A0742, 4411.974805389359, 3134.4629067818037, 30, 30, 80
0C5A0740, 3734.3590042112032, 3075.049287201201, 0, 30, 80
0C5A0739, 5429.136415845437, 3730.788327693242, 75, 15, 80
0C5A0738, 5109.599442723536, 3710.342933220762, 60, 15, 80
0C5A0737, 4785.536707477387, 3672.9775459299344, 45, 15, 80
0C5A0736, 4454.291587868695, 3650.2360562053914, 30, 15, 80
0C5A0735, 4116.831697588903, 3629.802532267925, 15, 15, 80
0C5A0734, 3768.7468015825943, 3590.040300173135, 0, 15, 80
0C5A0733, 5480.649714127909, 4230.238639823009, 75, 0, 80
0C5A0732, 5157.4337821437875, 4217.78998593649, 60, 0, 80
0C5A0731, 4832.559093132757, 4213.1384566071365, 45, 0, 80
0C5A0730, 4496.81821909017, 4164.0717678218325, 30, 0, 80
0C5A0728, 3803.8439638045006, 4116.776378370647, 0, 0, 80
0C5A0729, 4158.043686479018, 4153.1062276314715, 15, 0, 80
0C5A0727, 5061.621925682378, 1894.0766305657403, 75, 75, 60
0C5A0726, 4748.801408488487, 1845.1665770956686, 60, 75, 60
0C5A0725, 4440.507125378063, 1820.8942475907936, 45, 75, 60
0C5A0724, 4119.566734270042, 1781.1920533582538, 30, 75, 60
0C5A0722, 3461.6717404437063, 1676.8234321982698, 0, 75, 60
0C5A0721, 5101.034782678004, 2353.788453919712, 75, 60, 60
0C5A0720, 4792.024820164153, 2330.818078471131, 60, 60, 60
0C5A0718, 4152.340197383488, 2239.8218886896707, 30, 60, 60
0C5A0719, 4474.835284437144, 2283.71079441551, 45, 60, 60
0C5A0717, 3824.542882667119, 2198.358686207929, 15, 60, 60
0C5A0714, 4830.34044353187, 2804.261971859962, 60, 45, 60
0C5A0716, 3487.924165053859, 2166.219915948882, 0, 60, 60
0C5A0715, 5145.310708200036, 2838.2067460590715, 75, 45, 60
0C5A0713, 4516.757194639447, 2768.9788967768486, 45, 45, 60
0C5A0712, 4190.832040100221, 2737.4127051151454, 30, 45, 60
0C5A0711, 3856.35578461817, 2703.806871326166, 15, 45, 60
0C5A0708, 4871.797290538784, 3287.464341993207, 60, 30, 60
0C5A0710, 3518.253218544173, 2673.4557557958233, 0, 45, 60
0C5A0709, 5192.021531495419, 3325.5932989512344, 75, 30, 60
0C5A0707, 4553.360310525819, 3263.6637737055203, 45, 30, 60
0C5A0706, 4225.009433979542, 3227.3405425668316, 30, 30, 60
0C5A0705, 3889.425522505149, 3200.331836582706, 15, 30, 60
0C5A0704, 3550.542070708761, 3166.0839552673533, 0, 30, 60
0C5A0703, 5232.396062910839, 3816.6708189162787, 75, 15, 60
0C5A0702, 4915.431991429002, 3806.2313714500256, 60, 15, 60
0C5A0701, 4593.872684256578, 3778.459045686355, 45, 15, 60
0C5A0700, 4260.580869409914, 3733.495423632369, 30, 15, 60
0C5A0699, 3926.42803742681, 3719.8042516566948, 15, 15, 60
0C5A0698, 3583.6939377230506, 3699.924106283479, 0, 15, 60
0C5A0697, 5279.777794181165, 4318.815342129795, 75, 0, 60
0C5A0696, 4959.708936041386, 4272.5422603408815, 60, 0, 60
0C5A0695, 4636.86375959549, 4281.773039014738, 45, 0, 60
0C5A0694, 4306.918754281634, 4253.184655065542, 30, 0, 60
0C5A0693, 3965.304749161183, 4239.241051503134, 15, 0, 60
0C5A0692, 3618.03672853609, 4220.608284621804, 0, 0, 60
0C5A0691, 4878.998778655698, 1982.0599849058863, 75, 75, 40
0C5A0690, 4569.740158473979, 1958.3693291864408, 60, 75, 40
0C5A0689, 4261.3985721984845, 1920.0513190859142, 45, 75, 40
0C5A0688, 3943.9497133500568, 1875.675317794753, 30, 75, 40
0C5A0687, 3619.481890258762, 1821.0634021677472, 15, 75, 40
0C5A0686, 3289.2742917605974, 1815.2590616867171, 0, 75, 40
0C5A0685, 4917.4472329145865, 2465.526130747022, 75, 60, 40
0C5A0684, 4607.952188927134, 2425.6579751081044, 60, 60, 40
0C5A0683, 4296.3603687283385, 2385.952981393489, 45, 60, 40
0C5A0682, 3974.250460890227, 2359.2593677680125, 30, 60, 40
0C5A0681, 3644.7499134404325, 2317.0160198939793, 15, 60, 40
0C5A0680, 3314.855580305067, 2273.5073277605934, 0, 60, 40
0C5A0679, 4958.854903088442, 2932.7357835529506, 75, 45, 40
0C5A0678, 4646.315507812254, 2899.7823043935155, 60, 45, 40
0C5A0677, 4332.937660665199, 2870.140066445679, 45, 45, 40
0C5A0676, 4008.581525296471, 2836.5310354574794, 30, 45, 40
0C5A0675, 3678.5853896651147, 2802.315089264027, 15, 45, 40
0C5A0674, 3342.672572817789, 2769.567949763309, 0, 45, 40
0C5A0673, 4999.45802781636, 3411.7305616755916, 75, 30, 40
0C5A0672, 4683.90088522467, 3377.5187746416195, 60, 30, 40
0C5A0671, 4367.551193053933, 3356.6377893620793, 45, 30, 40
0C5A0670, 4041.190806081445, 3331.614877120355, 30, 30, 40
0C5A0669, 3710.1835013218843, 3299.4926867333297, 15, 30, 40
0C5A0668, 3370.628562363623, 3268.13025562868, 0, 30, 40
0C5A0667, 5042.336130582246, 3903.1337861573093, 75, 15, 40
0C5A0666, 4723.819736693283, 3870.7193327786695, 60, 15, 40
0C5A0665, 4404.026241944965, 3849.0342379560693, 45, 15, 40
